 	ELoss	Intensity
472	10.305	46.613
473	10.335	46.984
474	10.365	48.750
475	10.396	48.738
476	10.426	47.469
477	10.456	50.312
478	10.486	50.453
479	10.517	50.746
480	10.547	51.277
481	10.577	50.285
482	10.607	49.961
483	10.637	50.457
484	10.668	51.750
485	10.698	51.070
486	10.728	53.074
487	10.758	52.043
488	10.789	53.648
489	10.819	51.984
490	10.849	53.047
491	10.879	52.000
492	10.909	54.906
493	10.940	56.000
494	10.970	56.723
495	11.000	58.387
496	11.030	57.555
497	11.061	56.227
498	11.091	57.883
499	11.121	57.598
500	11.151	58.469
501	11.181	58.418
502	11.212	59.324
503	11.242	59.688
504	11.272	61.055
505	11.302	60.660
506	11.333	60.207
507	11.363	61.930
508	11.393	63.438
509	11.423	64.191
510	11.453	62.777
511	11.484	63.539
512	11.514	62.801
513	11.544	63.977
514	11.574	65.266
515	11.604	63.582
516	11.635	65.062
517	11.665	66.383
518	11.695	65.152
519	11.725	68.184
520	11.756	68.902
521	11.786	67.000
522	11.816	67.277
523	11.846	68.617
524	11.876	69.941
525	11.907	71.137
526	11.937	70.910
527	11.967	74.277
528	11.997	75.965
529	12.028	75.281
530	12.058	73.199
531	12.088	74.281
532	12.118	73.922
533	12.148	75.480
534	12.179	75.441
535	12.209	79.043
536	12.239	79.531
537	12.269	80.289
538	12.300	80.250
539	12.330	82.723
540	12.360	84.121
541	12.390	83.617
542	12.420	82.453
543	12.451	86.500
544	12.481	88.500
545	12.511	88.680
546	12.541	87.957
547	12.572	89.453
548	12.602	92.465
549	12.632	92.551
550	12.662	92.582
551	12.692	93.996
552	12.723	95.707
553	12.753	94.352
554	12.783	96.383
555	12.813	97.387
556	12.844	100.195
557	12.874	100.672
558	12.904	100.938
559	12.934	101.523
560	12.964	101.703
561	12.995	103.613
562	13.025	105.496
563	13.055	104.508
564	13.085	106.984
565	13.115	108.492
566	13.146	110.656
567	13.176	112.367
568	13.206	112.137
569	13.236	113.195
570	13.267	117.250
571	13.297	116.746
572	13.327	115.801
573	13.357	119.023
574	13.387	123.137
575	13.418	125.359
576	13.448	129.148
577	13.478	128.715
578	13.508	131.801
579	13.539	134.820
580	13.569	136.863
581	13.599	136.336
582	13.629	137.715
583	13.659	136.258
584	13.690	139.328
585	13.720	141.566
586	13.750	142.832
587	13.780	144.578
588	13.811	147.035
589	13.841	150.172
590	13.871	153.945
591	13.901	158.105
592	13.931	158.762
593	13.962	159.277
594	13.992	162.969
595	14.022	162.641
596	14.052	166.602
597	14.083	169.957
598	14.113	173.961
599	14.143	173.836
600	14.173	177.574
601	14.203	177.797
602	14.234	181.945
603	14.264	184.559
604	14.294	189.281
605	14.324	192.891
606	14.355	193.520
607	14.385	198.043
608	14.415	199.992
609	14.445	200.695
610	14.475	205.414
611	14.506	210.023
612	14.536	214.625
613	14.566	218.133
614	14.596	216.867
615	14.626	222.543
616	14.657	228.660
617	14.687	231.254
618	14.717	231.383
619	14.747	233.438
620	14.778	234.270
621	14.808	240.715
622	14.838	243.434
623	14.868	248.527
624	14.898	255.328
625	14.929	259.320
626	14.959	257.301
627	14.989	265.199
628	15.019	267.926
629	15.050	270.930
630	15.080	274.184
631	15.110	283.152
632	15.140	286.777
633	15.170	291.203
634	15.201	291.555
635	15.231	296.844
636	15.261	305.410
637	15.291	306.699
638	15.322	310.477
639	15.352	314.926
640	15.382	318.434
641	15.412	321.949
642	15.442	321.172
643	15.473	327.102
644	15.503	330.379
645	15.533	336.488
646	15.563	341.102
647	15.594	347.258
648	15.624	351.793
649	15.654	354.500
650	15.684	358.930
651	15.714	364.297
652	15.745	369.926
653	15.775	370.430
654	15.805	374.746
655	15.835	380.836
656	15.866	384.227
657	15.896	382.465
658	15.926	387.781
659	15.956	392.512
660	15.986	395.820
661	16.017	398.027
662	16.047	401.941
663	16.077	405.445
664	16.107	413.895
665	16.137	415.645
666	16.168	416.754
667	16.198	424.449
668	16.228	424.738
669	16.258	425.285
670	16.289	429.551
671	16.319	432.660
672	16.349	435.531
673	16.379	440.402
674	16.409	443.410
675	16.440	444.402
676	16.470	444.371
677	16.500	447.203
678	16.530	448.559
679	16.561	450.680
680	16.591	448.426
681	16.621	453.535
682	16.651	456.516
683	16.681	457.426
684	16.712	450.898
685	16.742	452.555
686	16.772	450.805
687	16.802	453.375
688	16.833	454.551
689	16.863	454.047
690	16.893	454.812
691	16.923	449.562
692	16.953	448.477
693	16.984	446.004
694	17.014	450.250
695	17.044	447.051
696	17.074	447.574
697	17.105	445.938
698	17.135	443.145
699	17.165	441.922
700	17.195	439.426
701	17.225	434.762
702	17.256	429.277
703	17.286	428.449
704	17.316	428.328
705	17.346	425.074
706	17.377	426.621
707	17.407	420.578
708	17.437	416.629
709	17.467	409.227
710	17.497	404.176
711	17.528	403.516
712	17.558	402.043
713	17.588	398.379
714	17.618	391.363
715	17.648	385.352
716	17.679	384.219
717	17.709	382.438
718	17.739	381.176
719	17.769	375.812
720	17.800	369.691
721	17.830	368.402
722	17.860	361.996
723	17.890	359.031
724	17.920	350.934
725	17.951	343.773
726	17.981	339.195
727	18.011	338.055
728	18.041	334.387
729	18.072	330.910
730	18.102	326.070
731	18.132	324.258
732	18.162	318.758
733	18.192	316.293
734	18.223	308.086
735	18.253	307.098
736	18.283	304.133
737	18.313	299.910
738	18.344	296.457
739	18.374	292.543
740	18.404	285.297
741	18.434	282.520
742	18.464	281.453
743	18.495	276.504
744	18.525	272.254
745	18.555	268.305
746	18.585	262.758
747	18.616	259.500
748	18.646	255.605
749	18.676	249.227
750	18.706	243.629
751	18.736	245.145
752	18.767	241.207
753	18.797	238.203
754	18.827	233.594
755	18.857	231.246
756	18.887	229.047
757	18.918	225.008
758	18.948	222.809
759	18.978	216.145
760	19.008	213.742
761	19.039	212.211
762	19.069	209.371
763	19.099	206.117
764	19.129	203.105
765	19.159	198.742
766	19.190	197.043
767	19.220	197.863
768	19.250	195.754
769	19.280	193.785
770	19.311	191.133
771	19.341	189.746
772	19.371	184.320
773	19.401	181.824
774	19.431	181.480
775	19.462	178.496
776	19.492	177.613
777	19.522	173.258
778	19.552	169.215
779	19.583	167.410
780	19.613	167.816
781	19.643	166.387
782	19.673	163.461
783	19.703	162.320
784	19.734	158.211
785	19.764	153.613
786	19.794	150.938
787	19.824	153.906
788	19.855	150.250
789	19.885	148.391
790	19.915	143.895
791	19.945	142.680
792	19.975	141.457
793	20.006	142.734
794	20.036	139.805
795	20.066	139.391
796	20.096	137.684
797	20.127	133.863
798	20.157	132.199
799	20.187	133.348
800	20.217	133.047
801	20.247	130.840
802	20.278	130.320
803	20.308	130.812
804	20.338	129.871
805	20.368	126.324
806	20.399	122.809
807	20.429	120.316
808	20.459	120.289
809	20.489	118.309
810	20.519	118.234
811	20.550	117.438
812	20.580	116.215
813	20.610	115.242
814	20.640	116.660
815	20.670	115.617
816	20.701	113.922
817	20.731	110.605
818	20.761	110.008
819	20.791	110.449
820	20.822	108.508
821	20.852	105.262
822	20.882	107.816
823	20.912	107.055
824	20.942	102.246
825	20.973	101.676
826	21.003	103.094
827	21.033	100.219
828	21.063	98.027
829	21.094	98.699
830	21.124	99.770
831	21.154	100.500
832	21.184	99.242
833	21.214	96.859
834	21.245	94.867
835	21.275	92.309
836	21.305	92.266
837	21.335	93.711
838	21.366	93.070
839	21.396	91.367
840	21.426	92.539
841	21.456	92.031
842	21.486	90.348
843	21.517	93.172
844	21.547	91.113
845	21.577	88.867
846	21.607	88.656
847	21.638	87.910
848	21.668	87.473
849	21.698	88.828
850	21.728	88.457
851	21.758	83.352
852	21.789	81.180
853	21.819	81.758
854	21.849	79.949
855	21.879	82.117
856	21.910	81.367
857	21.940	78.633
858	21.970	80.719
859	22.000	79.852
860	22.030	77.918
861	22.061	77.543
862	22.091	78.730
863	22.121	80.504
864	22.151	77.781
865	22.181	74.754
866	22.212	74.082
867	22.242	75.000
